央视频道,#genre#
CCTV-1高清,rtsp://182.139.235.40/PLTV/88888893/224/3221226889/10000100000000060000000000622347_0.smil
CCTV-2高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227983/10000100000000060000000003751359_0.smil
CCTV-3高清,rtsp://182.139.235.40/PLTV/88888893/224/3221226816/10000100000000060000000001366243_0.smil
CCTV-4高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227928/10000100000000060000000003751404_0.smil
CCTV-5高清,rtsp://182.139.235.40/PLTV/88888895/224/3221228458/658583224.smil
CCTV-6高清,rtsp://182.139.235.40/PLTV/88888893/224/3221226820/10000100000000060000000001366343_0.smil
CCTV-7高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227989/10000100000000060000000003751413_0.smil
CCTV-8高清,rtsp://182.139.235.40/PLTV/88888895/224/3221228481/658583153.smil
CCTV-9高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227993/10000100000000060000000003751454_0.smil
CCTV-10高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227995/10000100000000060000000003751458_0.smil
CCTV-11高清,rtsp://182.139.235.40/PLTV/88888895/224/3221228432/616099606.smil
CCTV-12高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227986/10000100000000060000000003751507_0.smil
CCTV-13高清,rtsp://182.139.235.40/PLTV/88888895/224/3221228546/658212968.smil
CCTV-少儿高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227992/10000100000000060000000003751527_0.smil
CCTV-15高清,rtsp://182.139.235.40/PLTV/88888895/224/3221228431/616097934.smil
CCTV-17高清,rtsp://182.139.235.40/PLTV/88888895/224/3221228378/613313950_mdn_1.smil
CCTV-5+高清,rtsp://182.139.235.40/PLTV/88888893/224/3221226876/10000100000000060000000001827878_0.smil
CETV-1高清,rtsp://182.139.235.40/PLTV/88888888/224/3221228373/593436497.smil
CETV-2,rtsp://182.139.235.40/PLTV/88888896/224/3221228656/680759597.smil
CETV-4,rtsp://182.139.235.40/PLTV/88888888/224/3221228416/603432209.smil
CGTN英语,rtsp://182.139.235.40/PLTV/88888895/224/3221228551/671325168.smil
